Full_Name,Email,Age,Region,Salary,City
ChRIS wIlliAms,chris.williams_4084@example.com,56,North,93284,Tokyo
aLICE milLEr,alice.miller_3562@example.com,57,,99804,London
JOhn SMiTh,john.smith_4387@example.com,35,,"$58,439",Berlin
Mike SMItH,mike.smith_9600@example.com,35,North,82292,New York
aLICe JOHnson,alice.johnson_7099@example.com,25,East,102344,Mumbai
mIKe MiLLeR,mike.miller_1339@example.com,27,East,91114,Berlin
Bob miLler,bob.miller_7688@example.com,25,South,96996,Berlin
bob SmiTH,bob.smith_3145@example.com,45,South,98816,New York
jAne jOhnSOn,jane.johnson_6906@example.com,54,East,93296,Sydney
chris WILlIamS,chris.williams_8187@example.com,42,,59485,Sydney
CHrIS BroWn,chris.brown_3446@example.com,41,,34644,Tokyo
JaNE jOnEs,jane.jones_6966@example.com,26,West,40088,Bangalore
bob WiLliAMS,bob.williams_9598@example.com,44,North,45021,New York
chriS SmITH,chris.smith_1529@example.com,19,South,80555,London
cHriS sMIth,chris.smith_9314@example.com,44,,52761,Bangalore
JanE WILLIAms,jane.williams_2421@example.com,22,South,85137,Bangalore
mIKE sMith,mike.smith_6173@example.com,32,,104864,Tokyo
aLiCE jONEs,alice.jones_9984@example.com,48,,67958,Toronto
Bob Davis,bob.davis_7820@example.com,23,West,33886,Berlin
Bob johNsOn,bob.johnson_1412@example.com,46,,108406,London
mike BROWn,mike.brown_4003@example.com,27,West,89527,London
ChrIs MiLLEr,chris.miller_1532@example.com,59,South,53788,Tokyo
aNNA BROwN,anna.brown_3847@example.com,22,North,90961,Tokyo
CHRIS wiLLIAMS,chris.williams_8888@example.com,19,,42825,Bangalore
ANna jOHnSON,anna.johnson_7486@example.com,19,,62756,Tokyo
jane jONES,jane.jones_1273@example.com,31,South,88247,Tokyo
MIkE daVIS,mike.davis_2056@example.com,49,,48587,Bangalore
jOhN BroWN,john.brown_6063@example.com,39,South,73010,Berlin
ChrIS JOHnsOn,chris.johnson_9527@example.com,47,East,113445,London
eMiLY WILliams,emily.williams_8197@example.com,36,,104406,London
JOhN SmiTh,john.smith_1365@example.com,32 years,North,69131,Toronto
ChriS smItH,chris.smith_9717@example.com,58,North,38748,Sydney
mIke DaVIS,mike.davis_2772@example.com,43,East,"$118,618",Tokyo
Bob wIlLiAMs,bob.williams_3266@example.com,60,North,59904,Berlin
joHN SMith,john.smith_1073@example.com,46,West,102611,New York
ANNA WiLliAms,anna.williams_4581@example.com,42,North,42778,Mumbai
aliCE daVIs,alice.davis_9707@example.com,40,East,94119,Tokyo
AnNA Brown,anna.brown_4905@example.com,53,North,75423,Toronto
aliCE JOHNSOn,alice.johnson_9511@example.com,56,North,68338,New York
MikE DaVIs,mike.davis_3347@example.com,30 years,North,53058,Mumbai
mIke garcIA,mike.garcia_7813@example.com,29,West,93527,Bangalore
BOB jOhnson,bob.johnson_8665@example.com,49,North,94498,Bangalore
anNa joHNSOn,anna.johnson_6007@example.com,33 years,,99861,Berlin
annA gArCIa,anna.garcia_9655@example.com,58,West,119088,Tokyo
ALice WILlIAms,alice.williams_3836@example.com,29,North,"$82,501",Sydney
chris SmItH,chris.smith_2300@example.com,38,West,113393,Tokyo
EmiLy jonES,emily.jones_2258@example.com,25,North,84271,Tokyo
EMILy Miller,emily.miller_8405@example.com,48,,"$70,158",Sydney
JOhn JoneS,john.jones_7523@example.com,19,South,46065,Bangalore
EMIly MillER,emily.miller_2000@example.com,40,West,63557,New York
jAnE garCIA,jane.garcia_1367@example.com,34,South,58540,Bangalore
AnNA gaRCIA,anna.garcia_8004@example.com,31,,32135 USD,Mumbai
mike dAvis,mike.davis_1606@example.com,35,West,110899,New York
MIKE dAViS,mike.davis_2111@example.com,38,,41230,Bangalore
jANE wiLLIAMS,jane.williams_3148@example.com,54,,49584,Toronto
MIKe daVis,mike.davis_4842@example.com,24,,63951,Sydney
jOhn jOhnsON,john.johnson_5578@example.com,50,South,"$35,128",Mumbai
CHRis BroWN,chris.brown_9080@example.com,21,East,37355,Toronto
jANe JONEs,jane.jones_6318@example.com,24,West,58996,London
miKe JohNSon,mike.johnson_4168@example.com,30,East,43289,New York
JOhN wiLliamS,john.williams_5743@example.com,59,South,95513,Bangalore
BOB WiLLIaMS,bob.williams_5755@example.com,51,South,63276,Tokyo
AnnA Johnson,anna.johnson_6996@example.com,51,South,69643 USD,Tokyo
John garCia,john.garcia_8377@example.com,36,,"$97,375",Berlin
mikE MilLER,mike.miller_5325@example.com,29,,53574,Sydney
jane joHnSoN,jane.johnson_5726@example.com,50,,39580,Berlin
Bob wilLiAms,bob.williams_2642@example.com,60,West,"$38,975",Bangalore
ANNA SmItH,anna.smith_6771@example.com,27,,45225,Berlin
ANna wILLiAMS,anna.williams_9735@example.com,40,,67144,New York
jOhN BROWn,john.brown_5734@example.com,47,South,118733,Tokyo
BoB GarcIA,bob.garcia_8907@example.com,21,East,118113,New York
ANnA SMitH,anna.smith_2020@example.com,47,West,"$30,593",Bangalore
jOhN SmitH,john.smith_7832@example.com,57,North,61056,Toronto
ALice joNes,alice.jones_5954@example.com,31,,65517 USD,Mumbai
aLice JoNes,alice.jones_4813@example.com,27,East,65095,Bangalore
MIKe garCia,mike.garcia_4750@example.com,49,East,64344,Bangalore
jAnE SmItH,jane.smith_4995@example.com,18,East,80437,Berlin
JANe BrOwN,jane.brown_2770@example.com,49,,118886,Bangalore
aLICE JONEs,alice.jones_2662@example.com,29,South,114771,Sydney
MIkE jOnES,mike.jones_7799@example.com,18,East,45095,London
MIkE SMITh,mike.smith_7161@example.com,57,North,83971,New York
EmilY dAvis,emily.davis_1137@example.com,32,South,80927,Tokyo
boB dAviS,bob.davis_8014@example.com,54,South,93067,Berlin
AnNA jONES,anna.jones_4863@example.com,44,South,65027,Berlin
aNnA jONEs,anna.jones_8299@example.com,59,North,51144,Bangalore
boB mIllER,bob.miller_2382@example.com,27,West,35158,London
bOB broWN,bob.brown_7818@example.com,35,North,115434,Mumbai
MIke JohnSoN,mike.johnson_2003@example.com,24,West,48629,London
CHRIS GaRcIa,chris.garcia_9579@example.com,43,South,94377,Tokyo
aNna BRoWN,anna.brown_1040@example.com,34,East,112502,Berlin
eMiLy jonEs,emily.jones_8144@example.com,47,South,105390,Sydney
annA brOwN,anna.brown_3990@example.com,51,West,"$75,961",New York
aNNA wiLliAMS,anna.williams_5291@example.com,20,West,63927,New York
jaNe gARCia,jane.garcia_2423@example.com,28,East,119104,Sydney
aNNa dAVIS,anna.davis_8404@example.com,47,,69508,New York
JoHn jOhnsOn,john.johnson_1627@example.com,31,West,62702,Mumbai
EMIlY jOnes,emily.jones_6428@example.com,45,South,48093,Toronto
johN MILLer,john.miller_2434@example.com,30,West,102788,Bangalore
AliCe JonEs,alice.jones_5409@example.com,36,,84273,Bangalore
aLiCe smith,alice.smith_3268@example.com,36,,118624,New York
chRiS smITH,chris.smith_2486@example.com,57,West,92766,Sydney
JoHN BroWN,john.brown_5773@example.com,54,East,56625,Bangalore
JAnE GArcIa,jane.garcia_5491@example.com,26,West,115461,Tokyo
bob mIllEr,bob.miller_5439@example.com,21,South,112573,Tokyo
Jane SMITH,jane.smith_1124@example.com,27,West,66664,Berlin
Bob jONeS,bob.jones_9999@example.com,44,,72692,Berlin
CHrIs WiLlIAms,chris.williams_7746@example.com,59,,59301,Sydney
EMIly DAviS,emily.davis_6196@example.com,56,,86797,Bangalore
cHRIs sMITh,chris.smith_7263@example.com,59,North,58272,Toronto
EmiLy smiTh,emily.smith_4590@example.com,42,South,90457,Sydney
mIkE sMIth,mike.smith_5526@example.com,21,,60102,Mumbai
annA daVIs,anna.davis_6760@example.com,34,West,86965,New York
eMILy MIlLeR,emily.miller_1089@example.com,29,North,98888,Berlin
anNA WiLLiaMs,anna.williams_1195@example.com,34,,89306,Berlin
chRiS Jones,chris.jones_3280@example.com,33,East,54239,Sydney
AlICE mILler,alice.miller_2089@example.com,50,,88036,Mumbai
CHRis JOHnSON,chris.johnson_7736@example.com,47,,82098,Toronto
JoHN wILliAMS,john.williams_3959@example.com,21,North,81327,Berlin
anNa MIlLEr,anna.miller_4939@example.com,27,West,38030,Tokyo
AnNa BRoWN,anna.brown_2409@example.com,28,,85360,London
JoHN SmITh,john.smith_1752@example.com,27,North,46181,Sydney
ChRIS gARCIa,chris.garcia_6478@example.com,48,West,68129,Sydney
emIlY JOHnson,emily.johnson_4236@example.com,59,,96073,Tokyo
aLicE JoNES,alice.jones_9688@example.com,49,South,73462,London
mIkE JonEs,mike.jones_2753@example.com,24,South,88153,Toronto
anNA bRoWN,anna.brown_8726@example.com,58,North,88349,London
AliCe WIlliamS,alice.williams_2503@example.com,20,West,63942,New York
ALIce WiLliaMS,alice.williams_4804@example.com,34,South,47891,Toronto
chrIS BroWn,chris.brown_8780@example.com,40,East,93100,Sydney
ChriS milLEr,chris.miller_6219@example.com,34,West,97377,Toronto
bOb gArcia,bob.garcia_9931@example.com,28,,61523,Tokyo
ChrIs bRowN,chris.brown_2579@example.com,44,South,62635,Toronto
AlICe joHNsoN,alice.johnson_3461@example.com,20 years,,75721,Bangalore
aNNa gaRCIA,anna.garcia_3287@example.com,32,West,90085,Mumbai
EMILy JOHnSon,emily.johnson_1681@example.com,59,,116273,New York
mIKE gArcia,mike.garcia_2357@example.com,23,,97294,Bangalore
EmilY JoneS,emily.jones_7630@example.com,36,,73361,Toronto
JOHn DavIS,john.davis_9888@example.com,20,,92027,Sydney
anNA JoNEs,anna.jones_9244@example.com,28,North,78817,Mumbai
eMiLY JOhNsOn,emily.johnson_4704@example.com,55,South,93169,New York
annA JonES,anna.jones_7222@example.com,43,West,118739,London
AnNA davIS,anna.davis_2026@example.com,20,South,"$59,568",Sydney
JAnE sMith,jane.smith_4540@example.com,29 years,East,92098 USD,London
chriS SmItH,chris.smith_6981@example.com,36,North,88643,Mumbai
ALicE wilLiams,alice.williams_7186@example.com,46,East,76347,London
janE miller,jane.miller_8926@example.com,55,,46511,New York
anNA wiLLiaMs,anna.williams_7363@example.com,20,,62512,Sydney
anNA jONeS,anna.jones_2451@example.com,40,,91369,Toronto
chRis JohNsOn,chris.johnson_4502@example.com,32,,104166,Berlin
alICE wiLLiAMS,alice.williams_5659@example.com,36,East,86212,Mumbai
aNNa joHNSOn,anna.johnson_1246@example.com,28,,49022,London
cHRiS smitH,chris.smith_6561@example.com,44,North,117131 USD,London
BOB jOnES,bob.jones_4242@example.com,20 years,West,79483,Sydney
JAnE JOnES,jane.jones_2711@example.com,20,,98715,Sydney
eMILY sMIth,emily.smith_8508@example.com,29,East,34271,Tokyo
ALICE johNSon,alice.johnson_5331@example.com,48,West,97311,Tokyo
aNNa BrOWN,anna.brown_8213@example.com,38,South,105105,London
mIKE MiLLeR,mike.miller_8947@example.com,56,North,71940,Bangalore
EMIly bROwn,emily.brown_8625@example.com,38,,113579,Sydney
ALICe JOnES,alice.jones_4466@example.com,19,East,37822,New York
mike JoNEs,mike.jones_3434@example.com,35,,108929,Toronto
JoHn mIlLEr,john.miller_5389@example.com,39,North,31970,Berlin
emiLY joHNSoN,emily.johnson_2863@example.com,50,North,43168,Toronto
BOb DAvIS,bob.davis_1080@example.com,45,West,31773,Bangalore
ChRis wiLlIaMs,chris.williams_4684@example.com,28,,64130,Mumbai
anNa SMIth,anna.smith_8020@example.com,55,South,50496,Bangalore
jane gaRCIa,jane.garcia_4487@example.com,59,North,49457,Berlin
jAne GArCia,jane.garcia_2837@example.com,46,South,114912,Sydney
BoB MiLLEr,bob.miller_9562@example.com,44,North,115749,Bangalore
JOHN brOWn,john.brown_8055@example.com,60,South,66660,London
bob BrOwn,bob.brown_8354@example.com,57,,81903,Sydney
aLIce MIllER,alice.miller_5287@example.com,29 years,,41304,Bangalore
emILY gaRcIA,emily.garcia_7462@example.com,60,North,58524,Bangalore
annA jOHnSON,anna.johnson_8105@example.com,26,South,92772,Sydney
miKe smiTH,mike.smith_1249@example.com,25,North,46012,London
Bob JOnES,bob.jones_6979@example.com,18,West,92388,New York
johN davis,john.davis_8411@example.com,57,North,45828,Bangalore
ANNA JONes,anna.jones_2500@example.com,18,West,73388,Sydney
BOb DavIS,bob.davis_5370@example.com,25,South,30948,Berlin
ALiCe brOWN,alice.brown_5893@example.com,52,East,"$33,247",London
ChriS brOwN,chris.brown_3953@example.com,33,,45350,Bangalore
JOHn MIllEr,john.miller_5978@example.com,46,North,58789,London
JoHn sMIth,john.smith_3500@example.com,26,North,48741,Toronto
JohN SMITh,john.smith_6455@example.com,50,West,96734,Tokyo
CHris jonES,chris.jones_7002@example.com,47,West,78068,Toronto
mikE mILLER,mike.miller_9303@example.com,60,East,49622,Tokyo
BOb dAViS,bob.davis_5358@example.com,20,,72802 USD,Mumbai
emilY WILlIAms,emily.williams_8905@example.com,59,East,92532,London
EmIly bRoWn,emily.brown_6850@example.com,30,East,71125,Mumbai
jAnE JoNEs,jane.jones_1376@example.com,45,,66118,Tokyo
bOb WilliaMs,bob.williams_5994@example.com,46,,101840,Toronto
jAne willIaMS,jane.williams_3269@example.com,34,East,107052,Tokyo
BOB gArCiA,bob.garcia_2240@example.com,40,South,109095,Toronto
EMiLy joNeS,emily.jones_6981@example.com,58,,107511 USD,Berlin
emiLy JonES,emily.jones_4241@example.com,21,West,118021,London
bob JOhnsOn,bob.johnson_7567@example.com,39,,69976,Mumbai
emilY bROWN,emily.brown_5163@example.com,50,South,31389,Tokyo
Bob davIs,bob.davis_7523@example.com,46,West,112320,Toronto
john bRown,john.brown_2177@example.com,43,,101398,New York
joHn bROwN,john.brown_3586@example.com,52,North,74822 USD,Bangalore
JanE BRowN,jane.brown_4087@example.com,56,,109562,Bangalore
ANNa SMitH,anna.smith_1605@example.com,31 years,West,"$47,744",London
Bob JoNES,bob.jones_9708@example.com,50,South,69125,Mumbai
MIKE smIth,mike.smith_9985@example.com,58,,106256,Tokyo
BOb dAVIS,bob.davis_3774@example.com,56,West,55679,New York
miKe jOhnsON,mike.johnson_9374@example.com,56,South,103379,New York
chrIS bRown,chris.brown_7352@example.com,38,North,58352,Berlin
chriS sMiTH,chris.smith_1837@example.com,30,North,39675,Mumbai
eMiLY MIlLEr,emily.miller_8880@example.com,58,North,83930,Toronto
eMilY sMITh,emily.smith_3982@example.com,23,,83859,New York
boB johNSoN,bob.johnson_6501@example.com,29,South,40819,London
cHRis daViS,chris.davis_9958@example.com,25,,61130,Tokyo
ALice smIth,alice.smith_5261@example.com,50,West,104429,Bangalore
JAne mILLer,jane.miller_7173@example.com,43,South,90073,London
jane smiTH,jane.smith_3036@example.com,53,,88590,Mumbai
MIke sMIth,mike.smith_8054@example.com,51,,73430,Bangalore
ChRIS wilLiAmS,chris.williams_1720@example.com,33 years,East,59743,Tokyo
MIKe garcia,mike.garcia_6682@example.com,22,North,105517,London
jOHn GarciA,john.garcia_5055@example.com,39,North,32197 USD,Tokyo
JoHN jOnES,john.jones_3450@example.com,45,,36891,Bangalore
eMiLy JOneS,emily.jones_2622@example.com,58,South,72272,New York
aLICE GarCIA,alice.garcia_7372@example.com,25,,103900,Tokyo
aNNa milLEr,anna.miller_7984@example.com,30,,54335,Bangalore
jOHn mILlER,john.miller_2566@example.com,50,West,43092,Toronto
joHN JOnES,john.jones_7938@example.com,32,East,84789,Toronto
Bob JoNEs,bob.jones_8241@example.com,19,North,70830,London
jOhN jonES,john.jones_5033@example.com,33,West,"$94,054",Mumbai
ALiCE garcIa,alice.garcia_5468@example.com,57,,31571,Berlin
Alice mILLer,alice.miller_9865@example.com,47,West,83245,Sydney
miKE dAVis,mike.davis_4345@example.com,29,,35336,Tokyo
MIKe BrOWn,mike.brown_1998@example.com,47,,48429,New York
bob MIllEr,bob.miller_3840@example.com,55,,63435,London
aLICE SmitH,alice.smith_2153@example.com,22,,111234,London
AlICE mIlLEr,alice.miller_6648@example.com,26,West,110832,Tokyo
jOhN Davis,john.davis_4659@example.com,26,West,"$66,029",Mumbai
MIke mIller,mike.miller_8389@example.com,58,East,41891,Berlin
BoB jones,bob.jones_8198@example.com,29,North,58216,Tokyo
JOhn joNEs,john.jones_3865@example.com,42,South,94140,Sydney
ANNA wiLLIamS,anna.williams_3402@example.com,47,West,99842,Berlin
chrIs SmiTH,chris.smith_3587@example.com,31,East,73823,New York
BOB smiTh,bob.smith_1453@example.com,36,,38529,Toronto
bob dAvIs,bob.davis_9846@example.com,26,East,110984,Tokyo
MIkE wiLliams,mike.williams_8412@example.com,55,,107894,Berlin
miKe joNes,mike.jones_4746@example.com,43,South,99291,Sydney
MikE browN,mike.brown_2552@example.com,37,South,33771,Toronto
MikE MiLler,mike.miller_5542@example.com,44,West,82705,Mumbai
ALiCE SMiTH,alice.smith_7062@example.com,47,East,44937,Berlin
ANnA bROwn,anna.brown_9796@example.com,29,North,118127,London
MIkE BRoWn,mike.brown_5499@example.com,56,East,64461 USD,Bangalore
emIlY JONES,emily.jones_8546@example.com,42,East,101544 USD,Berlin
JoHN mILLEr,john.miller_6023@example.com,44,,105845,Toronto
anna JoneS,anna.jones_3026@example.com,34,East,58459,London
BOB WILlIams,bob.williams_8935@example.com,43,,31007,Mumbai
aLiCE JONeS,alice.jones_2060@example.com,41,South,61669,Sydney
ChRiS MIllEr,chris.miller_3400@example.com,33,North,74459,Toronto
MiKe GARCIA,mike.garcia_7011@example.com,36,South,62007,Tokyo
John WIlLIamS,john.williams_9984@example.com,40,South,51110,Bangalore
ANnA WILliams,anna.williams_7307@example.com,20,,64993,London
ChRiS smITH,chris.smith_3514@example.com,59,East,46049,Sydney
Bob jOneS,bob.jones_2300@example.com,44,West,110071,Mumbai
mIke DavIs,mike.davis_2738@example.com,36,North,76083,Tokyo
mike gARCia,mike.garcia_3288@example.com,48 years,,103735,London
bOb BRoWN,bob.brown_8383@example.com,41,,106155,Toronto
AnnA MiLler,anna.miller_1859@example.com,45,,114760,New York
aliCE WILliaMs,alice.williams_7059@example.com,59,North,79538,Berlin
aNnA smIth,anna.smith_6932@example.com,18 years,North,94345,New York
aLIce wiLliAMS,alice.williams_5901@example.com,45,East,60537,London
emIly dAviS,emily.davis_3203@example.com,28,West,114480,Toronto
MIke jONeS,mike.jones_6293@example.com,45,South,112488,Bangalore
aNNA SmIth,anna.smith_4484@example.com,30,,78041,London
Jane gArciA,jane.garcia_4169@example.com,50,South,45045,Sydney
CHRIS GarcIA,chris.garcia_4679@example.com,30,South,117827,Berlin
MIke smITh,mike.smith_4873@example.com,39,,96324,Sydney
JOhn smiTH,john.smith_8233@example.com,52,,107267,Bangalore
anNA johnson,anna.johnson_5733@example.com,24,South,71803,New York
eMILy JONeS,emily.jones_9146@example.com,44,West,84422,Berlin
bOB garCia,bob.garcia_1791@example.com,28,,56886,Mumbai
Chris DAViS,chris.davis_2075@example.com,57,,"$43,152",Sydney
EMiLY wIlLiAms,emily.williams_6191@example.com,54,North,72936,Berlin
aliCe JONEs,alice.jones_6987@example.com,22,East,106164,London
mikE bROwN,mike.brown_4660@example.com,58,East,55151,Sydney
jOHN DAVIS,john.davis_5039@example.com,26,South,45900,Bangalore
bob mILLEr,bob.miller_2801@example.com,45,West,43552,Tokyo
jANe Davis,jane.davis_4698@example.com,43,East,55578,Tokyo
MIkE WIlLIAMs,mike.williams_7880@example.com,45 years,South,"$44,132",Bangalore
JANE SMITh,jane.smith_5791@example.com,22,West,113944,London
ALice MILler,alice.miller_1662@example.com,20,,79920,Bangalore
bOb BRoWn,bob.brown_4373@example.com,24,North,30036 USD,Toronto
EmIlY wiLLiAMS,emily.williams_1118@example.com,60,North,30836 USD,Berlin
BOB JohNsoN,bob.johnson_9486@example.com,52,West,94690,Mumbai
AnnA JoneS,anna.jones_1472@example.com,37,,80997,Berlin
CHRIs daVIs,chris.davis_9053@example.com,60,East,44986,Sydney
emILy johNsoN,emily.johnson_6821@example.com,57,,57531,Mumbai
alice JonES,alice.jones_2385@example.com,52,North,71998,London
johN DavIS,john.davis_4270@example.com,59,,114688,London
AnnA SMITH,anna.smith_3026@example.com,58,,31335,Mumbai
aNnA WiLLIaMS,anna.williams_8867@example.com,36,,89875,Bangalore
johN brOwN,john.brown_2546@example.com,25,,40028,London
jOhN MilLer,john.miller_5960@example.com,42,East,88448,Bangalore
emiLY JOHNSOn,emily.johnson_7660@example.com,50,South,71497,Tokyo
aNnA GaRCIa,anna.garcia_5512@example.com,47,North,111722,Berlin
jaNE BroWn,jane.brown_7765@example.com,52,South,87665,New York
BoB bROWN,bob.brown_2866@example.com,29,East,90575,Berlin
CHRIs MilLeR,chris.miller_2767@example.com,37,,39029,Tokyo
jANe wiLlIamS,jane.williams_8756@example.com,19,East,85359,Toronto
EMily DaVIs,emily.davis_1638@example.com,26,South,48709,Sydney
EMIly JOneS,emily.jones_1496@example.com,25,East,86721,Sydney
aliCe milLeR,alice.miller_1539@example.com,29,East,92826,London
ALiCE johNsOn,alice.johnson_1255@example.com,51,South,61233,Berlin
MiKE BrOWN,mike.brown_4359@example.com,51,North,43016,Sydney
BOb GArCiA,bob.garcia_1978@example.com,52,North,"$96,199",Sydney
CHris bROWN,chris.brown_8094@example.com,57,West,39579,New York
John WillIAmS,john.williams_1935@example.com,46,North,31132,Sydney
EmilY wilLiaMs,emily.williams_3378@example.com,24,East,72041,Berlin
bOB JohNsoN,bob.johnson_8466@example.com,27,North,96290,Toronto
AnNA SmiTH,anna.smith_6395@example.com,45,,"$103,696",London
eMily DaviS,emily.davis_3582@example.com,31,,100466,Sydney
ALICE millEr,alice.miller_4730@example.com,44,West,"$94,148",Mumbai
chRIs DAVIS,chris.davis_2748@example.com,37,West,43237,London
joHn jOHNson,john.johnson_7270@example.com,27,East,44425,Toronto
mIkE broWn,mike.brown_7827@example.com,57,,87764,Bangalore
JOHn jONEs,john.jones_1838@example.com,31,,38335,Berlin
jane mILlEr,jane.miller_3477@example.com,59,East,108124,New York
JOHN GarcIA,john.garcia_4002@example.com,55,,97495,Tokyo
Emily JOnES,emily.jones_9465@example.com,25,,76029,New York
JaNe JonES,jane.jones_4097@example.com,43,,114213,New York
CHris MIlLER,chris.miller_9690@example.com,22,South,44841,Sydney
MIKE SMiTH,mike.smith_7102@example.com,40,South,76403,Bangalore
chriS WilliAmS,chris.williams_2635@example.com,29,East,56689,London
ALiCE sMitH,alice.smith_2112@example.com,31,North,105039,Tokyo
ALIce wILLIAmS,alice.williams_3166@example.com,39,South,31225,New York
AnNa jones,anna.jones_6052@example.com,52,West,59498,Sydney
BOb garCiA,bob.garcia_7893@example.com,37,East,"$38,840",Tokyo
Jane gARcIa,jane.garcia_1148@example.com,39,South,73817,London
emILy DaViS,emily.davis_2804@example.com,30,North,73029,New York
BoB sMItH,bob.smith_1990@example.com,39,North,116711,New York
mIke joHnSoN,mike.johnson_7887@example.com,21,,"$108,335",Tokyo
BOb dAvIs,bob.davis_7936@example.com,27,West,109287,Mumbai
EMiLy joHnsON,emily.johnson_3324@example.com,23,South,67232,Tokyo
eMilY JOhNSon,emily.johnson_8323@example.com,23,,70865,Toronto
JOhN dAVIs,john.davis_5683@example.com,31,West,"$93,530",New York
EMiLy WiLliamS,emily.williams_1208@example.com,23,North,75673,Berlin
mIKe WILliaMs,mike.williams_6585@example.com,29,,113036,New York
chrIs JOneS,chris.jones_8127@example.com,53,,98707,Toronto
cHrIS GarCiA,chris.garcia_9725@example.com,60,East,51836,New York
bOB SMith,bob.smith_2241@example.com,31,West,38697,New York
